email subject,email body,binary classification (expected output)
An update on your recent Siemens application,"Hi Yoomin, Thank you for taking the time to apply for the role of Atlas Graduate Program: Software Engineer (2025) (438834) with us. On this occasion, we decided to move forward with other candidates. Due to the volume of applications that we receive, we are unable to provide individual feedback, but we thank you for considering Siemens and hope you will continue to explore our career opportunities. New opportunities to create a better tomorrow with Siemens arise every day, so please don't let this stop you from applying for a different role. We would like to also reassure you that, in case you have any other ongoing application processes, these will not be affected by this outcome. Similarly, in line with the data protection settings on your account, we may also get in touch with you again if any other opportunities are identified as suitable for you. Thanks again, Siemens Talent Team",
Fwd: Georgia Tech Application Submitted,"Georgia tech transfer application (Successfully submitted) ---------- Forwarded message --------- 보낸사람: Georgia Tech < comms@admission.gatech.edu > Date: 2024년 9월 15일 (일) 오후 11:04 Subject: Georgia Tech Application Submitted To: < eylalina12@gmail.com > Georgia Tech Application Submitted The latest news from Undergraduate Admission at Georgia Tech. Hyemin, Thank you for your recent application to Georgia Tech. Your application has been received by our office and is now under review. ADMISSION PORTAL Via your Admission Portal, you can: Verify personal information Review your application checklist Upload requested application checklist items Check your application status page regularly for updates, requests, and other important messages. Georgia Tech uses email and the application status page as the ONLY communications tools for admission updates. If you have not already done so, please ensure that emails from admission@gatech.edu can be safely delivered to your email account. If you have questions regarding your application, please contact the Office of Undergraduate Admission via email . Sincerely, Office of Undergraduate Admission Georgia Institute of Technology Office of Undergraduate Admission Georgia Institute of Technology Atlanta, GA 30332-0320",
Your application to Barclays,"Subject: Yoomin Choi ‎- 90392884 Full Stack Developer Barclays Email Classification: Restricted - External Dear Yoomin, Unfortunately, we have decided not to progress with your application further at this time. We understand that this may be disappointing news and we appreciate the time and effort you put into your application. We regularly check our applicant database to match candidates with roles on offer at Barclays, so if there is an opening that matches your skills, we’ll let you know. We would also encourage you to review our current opportunities at www.Barclays.com/careers. In the meantime, we would recommend you review your candidate profile on a regular basis and keep your details up to date. Your candidate profile was created during the application process and can be accessed by clicking here [not available] . As per the agreed Privacy Statement, we will keep your details on file for the specified period of time. After this, and assuming no further recruitment activity has occurred, your details will be removed from our database. If you would like to have your details removed from our database sooner than this, you can request this through your candidate profile. Requests for profile removal will be dealt with according to applicable law. Thank you for your interest in Barclays, we sincerely hope you will consider another application in the future. Kind regards, Barclays Talent Acquisition Team This mailbox is not monitored, please do not reply to this email. Please use the Help Desk for any queries. This email was intended for yoominchoi02@gmail.com",
Thank you for applying to Zynga Early Careers,"Hi Yoomin, Thank you for your interest to join the Zynga Early Careers team. We are always looking for talented people to help us develop new ways for people to connect through play. Next steps: Our hiring team will be reviewing all applications and will be in touch if your experience and skills are a match for the role. In any case, we will keep you posted on the status of your application. In addition, we will keep your information to match your profile against new vacancies in accordance with our privacy notice . If you do not wish to be considered against future vacancies or wish to be removed from our system, please email hr-dataprotection@take2games.com . Thank you, again, for taking the time to apply for this role at Zynga Early Careers. Best regards, The Recruiting Team",
Thank you for applying to Samsara,"Dear Yoomin, Thank you for applying to the Associate Product Manager role and for choosing Samsara in your job search! Your interest means a lot to us, and we're grateful for your application. Our recruiters are actively reviewing applications every day, and we will be in touch about next steps if you are selected to move forward in the application process. In the meantime, please get to know us more: Learn about our mission and values Follow us on LinkedIn for the latest updates Explore Samsara Careers for additional opportunities Warm regards, Samsara’s Recruiting Team ** Please note: Do not reply directly to this email.",
"eBay - Technical Product Manager [MBA] - Intern, application via RippleMatch and 1 more ""technical product manager new grad"" opportunity","RippleMatch eBay - Technical Product Manager [MBA] - Intern, application via RippleMatch: This role is with eBay. eBay uses RippleMatch to… ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ Your job alert for technical product manager new grad 2 new jobs in California match your preferences. eBay - Technical Product Manager [MBA] - Intern, application via RippleMatch RippleMatch · San Francisco, CA (Hybrid) $3.8K-$4.6K / month Actively recruiting eBay - Technical Product Manager [MBA] - Intern, application via RippleMatch RippleMatch · San Jose, CA (Hybrid) $3.8K-$4.6K / month Actively recruiting See all jobs Job search smarter with Premium Try 1 month for $0 Get the new LinkedIn desktop app Also available on mobile This email was intended for Yoomin Choi (Prev SWE/TPM Intern @ Oracle | CS @ Georgia Tech) Learn why we included this. You are receiving Job Alert emails. Manage job alerts · Unsubscribe · Help © 2024 LinkedIn Corporation, 1‌000 West Maude Avenue, Sunnyvale, CA 94085. LinkedIn and the LinkedIn logo are registered trademarks of LinkedIn.",
Thank you for Applying to Adobe,"Hi Yoomin, Thank you for taking the time to apply for the R150081 2025 University Graduate - Product Manager role. We’re fortunate to have received a lot of interest in this role, resulting in a very competitive selection process and unfortunately, at this time we have decided not to move forward with your application. While it didn’t work out this time, we hope you will continue to explore other opportunities with us by visiting our Career Site . Thank you once again for your interest in Adobe, and we wish you all the best in your search for a suitable position. * Please note: This email is sent from an unattended mailbox, please do not reply to this email. Kind Regards, Adobe Talent Acquisition Team This email was intended for yoominchoi02@gmail.com Adobe Systems Incorporated · 345 Park Ave. San Jose, CA 95110",
Thank you for your application to Oracle,"Hello Yoomin, Thank you for your interest in the position of Software Development Manager-235278. We know it takes time and energy to apply, so we appreciate you considering us. The hiring manager has chosen to move forward with another candidate so we will not be able to explore this particular role further at this time. We will continue to consider you for similar roles as they become available, and we look forward to exploring those opportunities with you. Note: This email is only related to the Job requisition indicated above. If you are already in touch with the Oracle Hiring team for other role(s) apart from this role OR you have interviews that are scheduled and not yet completed, rest assured this rejection doesn’t impact your progress on those role(s). As always, please feel free to contact your Talent Advisor for further updates. Best of luck with your job search! Oracle Talent Acquisition",
Barclays: We’ve received your application! ,"Subject: Yoomin Choi ‎- 90392884 Full Stack Developer Barclays Email Classification: Restricted - External Dear Yoomin, Thank you for applying to Barclays and for the time and effort you’ve put into exploring a role with us. We wanted to let you know we’ve received your application and are currently reviewing it. Your application is important to us, and we’ll keep you updated on the progress of your application as we move through the selection process. If you have selected to receive email updates, we will email you updates on your progress. Alternatively, you can access updates through your candidate profile on our career site. We’d like to encourage you to please review your candidate profile on a regular basis to ensure that your details and preferences are up to date. If you have any specific needs and/or require additional support, please ensure that you highlight these to the Recruiter so we can make sure that we put appropriate adjustments/accommodations in place. Thank you for considering a career with Barclays and best of luck with your application. Kind regards Barclays Talent Acquisition Team This mailbox is not monitored, please do not reply to this email. This email was intended for yoominchoi02@gmail.com",
Thank you for applying at Intuit,"Dear Yoomin, Thank you very much for your recent application to Intuit. Your resume will be reviewed by our recruiting staff, and we will contact you soon, should we feel that your background meets our current needs. Thanks again. Intuit This is an automated email response. Please do not reply. This message was sent to yoominchoi02@gmail.com. If you don't want to receive these emails from this company in the future, please go to: https://intuit.icims.com/icims2/?r=69B02641443&contactId=10721866&pid=17 © Intuit, Inc.; 7535 Torrey Santa Fe Rd; San Diego, CA 92129; USA",
Thanks for applying to Adobe,"Dear Yoomin Choi , We wanted to let you know that we received your application for the R149119 2025 University Graduate - Program Manager role. We look forward to learning more about you and we’ll be in touch if your skills and experiences are a match for this role. If you'd like to review your application status, please sign in to your account on our career site . In the meantime, we invite you to get to know our culture and our people. • Adobe Life Blog - Hear from our employees themselves about their career experiences. • Best Places to Work Awards – There’s nothing more rewarding than recognition from our employees and the industry. • LinkedIn and Twitter – We’d love to stay in touch. Please follow us on LinkedIn and Twitter. Thanks, Adobe's Talent Acquisition Team Privacy is important to Adobe. Our Applicant Privacy Notice explains how we may use any personal data which you may submit as part of the job application process. This email was intended for yoominchoi02@gmail.com Adobe Systems Incorporated · 345 Park Ave. San Jose, CA 95110",
Complete your application with Adobe,"Hi Yoomin, This is a reminder that you have yet to submit the application for the 2025 University Graduate - Program Manager job. To finish your application, please click on the following link to complete your application. Continue Applying Thank you for your interest. We look forward to staying connected with you. Best Regards, Adobe Talent Acquisition Team Connect with us Adobe and the Adobe logo are either registered trademarks or trademarks of Adobe in the United States and/or other countries. All other trademarks are the property of their respective owners. Please review the Adobe Privacy Policy. To ensure delivery to your inbox, please add donotreply@opportunities.adobe.com to your address book. You can unsubscribe here and stop receiving these job alert emails",
IMPORTANT: Your application with Adobe,"Hey Yoomin, I’m just checking in here! Did you have a chance to finish your application for the 2025 University Graduate - DevOps & Platform System Engineer position with Adobe ? If No : We wanted to let you know that, based on the information you've submitted on WayUp, it’s critical that you finish the application with Adobe so you can increase your chances getting hired. FINISH YOUR APPLICATION . If Yes : you're all set and we highly encourage you to check out some prep materials and more information on Adobe if you land an interview! Interview Prep 101 7 First Round Interview tips The Ultimate Guide to Following Up Check out more tips, tricks, and career resources here ! Good luck, The Team at WayUp Don’t want to find a new job? Update your preferences here .",
Thank you for your application to Oracle,"Hello Yoomin, Thank you for your interest in the position of Software Engineer - NetSuite Platform, Upgrades Team-251542. We know it takes time and energy to apply, so we appreciate you considering us. The hiring manager has chosen to move forward with another candidate so we will not be able to explore this particular role further at this time. We will continue to consider you for similar roles as they become available, and we look forward to exploring those opportunities with you. Note: This email is only related to the Job requisition indicated above. If you are already in touch with the Oracle Hiring team for other role(s) apart from this role OR you have interviews that are scheduled and not yet completed, rest assured this rejection doesn’t impact your progress on those role(s). As always, please feel free to contact your Talent Advisor for further updates. Best of luck with your job search! Oracle Talent Acquisition",
Important information about your application to Coinbase,"Hi Yoomin, Thank you for applying to the Crypto Product Manager I - Consumer Products role at Coinbase. We’re truly inspired by the talented people interested in building an open financial system for the world. While this is never easy news to share, we've decided not to move forward with your candidacy. We appreciate you sharing your qualifications; however, we currently have other candidates with experience that align more closely with our needs at this time. Please keep an eye out for future positions that might be of interest to you, and we will continue to keep your information on file for new openings. We wish you the very best in your job search and future adventures! Coinbase Recruiting Join our Stand with Crypto campaign and become an advocate today.",
Have you completed your full application for 2025 University Graduate - DevOps & Platform System Engineer at Adobe?,"Hi Yoomin, Thanks for your interest in 2025 University Graduate - DevOps & Platform System Engineer on WayUp! Have you completed the second part of the application process on Adobe's site? Yes! No, Finish now We’re rooting for you, you’ve got this! - The WayUp Team",
You have successfully submitted your IBM job application.,"IBM Careers Thank you for applying Yoomin Choi, thank you for applying to the role of Entry Level Software Developer: 2025 Ref:724127BR at IBM. We’re excited that you’re considering us as your next employer! Here at IBM, we believe our greatest asset is the IBMer. We strive every day to foster a culture of conscious inclusion for all individuals and provide IBMers the opportunity to make a positive impact on the world while bringing their authentic selves to work. To that end, we want to be as transparent as possible with you about what to expect next now that you’ve applied to IBM. Currently, your application is being reviewed by real IBMers, who are experts in screening resumes in their respective fields. If there's a potential match, we’ll contact you to discuss the next steps of our hiring process. While you wait to hear from us: • Visit our special careers page to find tips on acing your interview and career advice from current IBMers. You can also check out our application process page to learn more about how we hire at IBM. • Connect with us on our Life@IBM social media channels (links in the footer below) where you can engage with us further, discover what life at IBM is like, and see how IBMers around the world are making an impact. You can also check the status of your application at any time by visiting your IBM Career Portal . If you have any questions, please feel free to send us a direct message on any of our social channels. Thank you again, Yoomin, for taking the time to apply to IBM and for your interest in becoming a future IBMer. Best regards, Your IBM Recruiting Team ibm.com/jobs © IBM | Data Privacy Policy To ensure delivery to your inbox, please add talent@ibm.com to your address book. Please do not reply to this email, as we are unable to respond from this address. © IBM Corporation 2023. IBM, the IBM logo, IBM Cloud™ and ibm.com are trademarks of the International Business Machines Corp., registered in many jurisdictions worldwide. This document is current as of the initial date of publication and may be changed by IBM at any time. Not all offerings are available in every country in which IBM operates. If you would like to stop receiving emails about this role, withdraw your application from consideration, or have your profile removed from our system, please log into your IBM Career Portal, and contact our technical support team, or email us at IBM Alumni . © IBM | Data Privacy Policy",
Following up on your recent application to Google,"Thanks so much for applying with us Hi Yoomin, A Googler recently invited you to apply for the UX Engineer, Early Career - Sunnyvale role. We carefully reviewed your background and experience, and decided not to proceed with your application at this time. Although this role didn't work out, we may contact you if we come across another opening that we think could interest you and that matches your skills and experience. Also, if you applied for any other roles with us recently, look for an update on them soon. Thanks again for your interest, Ayesha Jabeen (xWF), Google recruiting © 2018 Google LLC 1600 Amphitheatre Parkway, Mountain View, CA 94043 You have received this message because you recently applied for a job at Google.",
Thanks for applying to Adobe,"Dear Yoomin Choi , We wanted to let you know that we received your application for the R148211 2025 University Graduate - Software Development Engineer role. We look forward to learning more about you and we’ll be in touch if your skills and experiences are a match for this role. If you'd like to review your application status, please sign in to your account on our career site . In the meantime, we invite you to get to know our culture and our people. • Adobe Life Blog - Hear from our employees themselves about their career experiences. • Best Places to Work Awards – There’s nothing more rewarding than recognition from our employees and the industry. • LinkedIn and Twitter – We’d love to stay in touch. Please follow us on LinkedIn and Twitter. Thanks, Adobe's Talent Acquisition Team Privacy is important to Adobe. Our Applicant Privacy Notice explains how we may use any personal data which you may submit as part of the job application process. This email was intended for yoominchoi02@gmail.com Adobe Systems Incorporated · 345 Park Ave. San Jose, CA 95110",
Application Received for Job #22939103,"Dear Candidate, This message is to acknowledge receipt of your resume. We greatly appreciate your interest in the position. Your resume will be considered for our current and future opportunities. Thank you. Please note that this is an automated message, please do not reply to this email.",
Thank you for applying to The Trade Desk,"Yoomin, Thanks for applying to The Trade Desk. Your application has been received and we'll review it right away. If your application seems like a good fit for the position, we'll contact you soon. To learn more about The Trade Desk, check out the links below: Company LinkedIn: https://www.linkedin.com/company/the-trade-desk The Current: https://www.thecurrent.com/sections/the-latest The Edge Academy: https://www.thetradedesk.com/us/edge-academy Regards, The Trade Desk Recruiting Team ** Please note: Do not reply to this email. This email was sent from an unattended mailbox. Replies will not be read. To ensure you receive any emails from The Trade Desk regarding this or future roles or events, please add Greenhouse and The Trade Desk as verified contacts. Otherwise emails may get bounced by spam filters. **",
